year,period,periodName,value,footnotes,state,month,date,state_name
2020,12,December,4.5,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,12,2020-12-01,Alabama
2020,11,November,4.9,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,11,2020-11-01,Alabama
2020,10,October,5.3,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,10,2020-10-01,Alabama
2020,9,September,5.9,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,9,2020-09-01,Alabama
2020,8,August,6.3,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,8,2020-08-01,Alabama
2020,7,July,7.5,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,7,2020-07-01,Alabama
2020,6,June,8.6,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,6,2020-06-01,Alabama
2020,5,May,10.4,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,5,2020-05-01,Alabama
2020,3,March,3.4,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,3,2020-03-01,Alabama
2020,2,February,3.3,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,2,2020-02-01,Alabama
2020,1,January,3.2,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,1,2020-01-01,Alabama
2019,12,December,3.1,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,12,2019-12-01,Alabama
2019,11,November,3.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,11,2019-11-01,Alabama
2019,10,October,3.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,10,2019-10-01,Alabama
2019,9,September,3.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,9,2019-09-01,Alabama
2019,8,August,3.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,8,2019-08-01,Alabama
2019,7,July,3.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,7,2019-07-01,Alabama
2019,6,June,3.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,6,2019-06-01,Alabama
2019,5,May,3.1,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,5,2019-05-01,Alabama
2019,4,April,3.3,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,4,2019-04-01,Alabama
2019,3,March,3.4,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,3,2019-03-01,Alabama
2019,2,February,3.6,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,2,2019-02-01,Alabama
2019,1,January,3.7,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,1,2019-01-01,Alabama
2018,12,December,3.8,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,12,2018-12-01,Alabama
2018,11,November,3.8,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,11,2018-11-01,Alabama
2018,10,October,3.9,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,10,2018-10-01,Alabama
2018,9,September,3.9,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,9,2018-09-01,Alabama
2018,8,August,3.9,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,8,2018-08-01,Alabama
2018,7,July,4.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,7,2018-07-01,Alabama
2018,6,June,4.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,6,2018-06-01,Alabama
2018,5,May,4.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,5,2018-05-01,Alabama
2018,4,April,4.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,4,2018-04-01,Alabama
2018,3,March,4.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,3,2018-03-01,Alabama
2018,2,February,4.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,2,2018-02-01,Alabama
2018,1,January,4.0,"[{'code': 'R', 'text': 'Data were subject to revision on March 1, 2023.'}]",LASST010000000000003,1,2018-01-01,Alabama
2017,12,December,4.0,[{}],LASST010000000000003,12,2017-12-01,Alabama
2017,11,November,4.0,[{}],LASST010000000000003,11,2017-11-01,Alabama
2017,10,October,4.0,[{}],LASST010000000000003,10,2017-10-01,Alabama
2017,9,September,4.1,[{}],LASST010000000000003,9,2017-09-01,Alabama
2017,8,August,4.2,[{}],LASST010000000000003,8,2017-08-01,Alabama
2017,7,July,4.3,[{}],LASST010000000000003,7,2017-07-01,Alabama
2017,6,June,4.4,[{}],LASST010000000000003,6,2017-06-01,Alabama
2017,5,May,4.6,[{}],LASST010000000000003,5,2017-05-01,Alabama
2017,4,April,4.8,[{}],LASST010000000000003,4,2017-04-01,Alabama
2017,3,March,5.0,[{}],LASST010000000000003,3,2017-03-01,Alabama
2017,2,February,5.2,[{}],LASST010000000000003,2,2017-02-01,Alabama
2017,1,January,5.5,[{}],LASST010000000000003,1,2017-01-01,Alabama
2016,12,December,5.7,[{}],LASST010000000000003,12,2016-12-01,Alabama
2016,11,November,5.8,[{}],LASST010000000000003,11,2016-11-01,Alabama
2016,10,October,5.9,[{}],LASST010000000000003,10,2016-10-01,Alabama
2016,9,September,5.9,[{}],LASST010000000000003,9,2016-09-01,Alabama
2016,8,August,5.9,[{}],LASST010000000000003,8,2016-08-01,Alabama
2016,7,July,5.9,[{}],LASST010000000000003,7,2016-07-01,Alabama
2016,6,June,5.9,[{}],LASST010000000000003,6,2016-06-01,Alabama
2016,5,May,5.9,[{}],LASST010000000000003,5,2016-05-01,Alabama
2016,4,April,5.9,[{}],LASST010000000000003,4,2016-04-01,Alabama
2016,3,March,6.0,[{}],LASST010000000000003,3,2016-03-01,Alabama
2016,2,February,6.0,[{}],LASST010000000000003,2,2016-02-01,Alabama
2016,1,January,6.1,[{}],LASST010000000000003,1,2016-01-01,Alabama
2015,12,December,6.1,[{}],LASST010000000000003,12,2015-12-01,Alabama
2015,11,November,6.1,[{}],LASST010000000000003,11,2015-11-01,Alabama
2015,10,October,6.1,[{}],LASST010000000000003,10,2015-10-01,Alabama
2015,9,September,6.1,[{}],LASST010000000000003,9,2015-09-01,Alabama
2015,8,August,6.2,[{}],LASST010000000000003,8,2015-08-01,Alabama
2015,7,July,6.2,[{}],LASST010000000000003,7,2015-07-01,Alabama
2015,6,June,6.2,[{}],LASST010000000000003,6,2015-06-01,Alabama
2015,5,May,6.1,[{}],LASST010000000000003,5,2015-05-01,Alabama
2015,4,April,6.1,[{}],LASST010000000000003,4,2015-04-01,Alabama
2015,3,March,6.1,[{}],LASST010000000000003,3,2015-03-01,Alabama
2015,2,February,6.1,[{}],LASST010000000000003,2,2015-02-01,Alabama
